Year,Month,Day,Hour,Demand,Tariff,Weekday
2017,7,1,0,705.9212205,22.770001,0
2017,7,1,1,717.612599,22.95,0
2017,7,1,2,716.2526226,20.45,0
2017,7,1,3,557.7345631,19.8,0
2017,7,1,4,385.6182557,18.78,0
2017,7,1,5,243.3971669,17.63,0
2017,7,1,6,169.1036082,20.81,0
2017,7,1,7,124.2905688,21.609999,0
2017,7,1,8,116.3929942,22.38,0
2017,7,1,9,115.8705868,25.72,0
2017,7,1,10,127.9658188,29.869999,0
2017,7,1,11,167.9302793,29.82,0
2017,7,1,12,227.1581748,64.359999,0
2017,7,1,13,206.9620447,39.83,0
2017,7,1,14,221.4169076,43.39,0
2017,7,1,15,282.4079114,32.77,0
2017,7,1,16,373.8486057,30.72,0
2017,7,1,17,459.374567,54.12,0
2017,7,1,18,557.3869086,51.37,0
2017,7,1,19,691.4631786,29.450001,0
2017,7,1,20,773.1774754,27.190001,0
2017,7,1,21,773.9089041,26.87,0
2017,7,1,22,820.7338695,23.74,0
2017,7,1,23,824.2354962,21.84,0
2017,7,2,0,824.8453968,20.44,0
2017,7,2,1,818.249584,21.09,0
2017,7,2,2,789.3646602,19.75,0
2017,7,2,3,604.2765595,18.200001,0
2017,7,2,4,440.3952811,16.900001,0
2017,7,2,5,261.3818698,15.100001,0
2017,7,2,6,178.7034053,16.79,0
2017,7,2,7,119.2515081,20.54,0
2017,7,2,8,116.3929942,21.039999,0
2017,7,2,9,115.8705868,24.229999,0
2017,7,2,10,127.9658188,27.699999,0
2017,7,2,11,167.9302793,31.670001,0
2017,7,2,12,227.1581748,33.650001,0
2017,7,2,13,206.9620447,30.8,0
2017,7,2,14,207.0418867,49.25,0
2017,7,2,15,301.5573464,52.820001,0
2017,7,2,16,427.7332104,74.72,0
2017,7,2,17,541.6235974,82.84,0
2017,7,2,18,647.0702499,34.16,0
2017,7,2,19,762.3308966,33.789999,0
2017,7,2,20,836.1959986,32.59,0
2017,7,2,21,945.4395917,37.679999,0
2017,7,2,22,1059.215297,24.41,0
2017,7,2,23,977.3701729,23.6,0
2017,7,3,0,951.536593,22.859999,1
2017,7,3,1,900.7691047,20.83,1
2017,7,3,2,864.1510613,19.59,1
2017,7,3,3,663.3424636,18.31,1
2017,7,3,4,474.2444067,18.6,1
2017,7,3,5,287.1126689,19.599999,1
