Date,Weekday,Hour,Demand,B,C,D,E,F,G,H,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,DA,Price,Signal,reg_ccp,reg_pcp
7/1/2017,Weekend,0,632.88,843.3000000000001,372,447,404.28,180.63,686.16,1017.45,0,0,0,0,0.0169293,0,0,0,21.05,22.770001,-0.55922865,4.19,0.14
7/1/2017,Weekend,1,546.84,730.26,426,359.4,402.11,310.77,839.34,1078.02,0,0,0,0,0.0135434,0,0,0,20.87,22.95,-0.591062137,7.61,0.15
7/1/2017,Weekend,2,494.46,694.08,381.6,298.8,414.43,421.02,850.32,1071.54,0,0,0,0,0.0169293,0,0,0,19.94,20.45,-0.608815427,4.34,0
7/1/2017,Weekend,3,541.08,653.94,367.8,374.4,414.01,406.98,830.88,980.28,0,0,0,0,0.0169293,0,0,0,18.96,19.8,-0.573308846,4.43,0.14
7/1/2017,Weekend,4,533.6999999999999,636.48,393.6,318.6,407.4499999999999,468.9,515.88,956.2499999999999,0,0,0,0,0.0135434,0,0,0,18.43,18.78,-0.49862259,10.47,0.11
7/1/2017,Weekend,5,519.12,647.6400000000001,516.6,599.4,388.47,455.94,823.86,1015.65,0,0,0,0,0.0169293,0,0,0,18.36,17.63,0.1585552494643405,22.85,1.22
7/1/2017,Weekend,6,618.48,726.3,786.5999999999999,998.4000000000001,412.34,421.74,812.5200000000001,1053.99,0.8137019999999999,0,0.8959860000000001,0.45045,0.521422,0.626384,0,0.768283,18.27,20.81,0.2996632996632997,5.02,0.76
7/1/2017,Weekend,7,725.76,856.08,1057.2,1212,469.3,446.67,687.42,1085.13,6.428520000000001,5.12126,5.5004,5.49713,4.06642,5.535880000000001,7.1269599999999995,3.63924,20.06,21.609999,0.3970003060912153,6.41,0.56
7/1/2017,Weekend,8,774.72,890.9999999999999,1236.6,1182.6,502.0599999999999,384.21,445.6800000000001,1078.74,14.279,12.7125,15.413599999999999,11.972100000000001,11.0311,14.755600000000001,17.439,10.1237,21.57,22.38,0.3648607284970922,5.58,2.99
7/1/2017,Weekend,9,688.1400000000001,877.68,1143,940.8,498.35,467.91,376.92,1129.77,25.0328,21.8375,29.1073,20.954900000000002,22.0758,35.3789,28.2202,24.2947,23.57,25.72,0.292623202,9.08,2.46
7/1/2017,Weekend,10,637.3799999999999,848.7,940.1999999999999,874.8,492.69,442.44,387.54,1102.59,39.3983,33.818400000000004,42.5454,36.0851,33.4929,46.1967,44.8611,39.3956,25.89,29.869999,0.3094582185491279,23.73,2.04
7/1/2017,Weekend,11,626.76,858.0600000000001,1249.2,874.2,381.49,390.24,376.38,917.5500000000001,43.4587,51.6052,50.558499999999995,53.0859,43.4948,60.217499999999994,59.8617,50.236200000000004,28.15,29.82,0.2430364248546066,35.47,1.59
