Date,Demand,Hour,Weekday,Price
2018-07-01,174.72,0,Weekend,23.96
2018-07-01,163.2,1,Weekend,22.8
2018-07-01,150.72,2,Weekend,20.79
2018-07-01,148.8,3,Weekend,19.87
2018-07-01,149.76,4,Weekend,19.33
2018-07-01,148.8,5,Weekend,18.9
2018-07-01,142.08,6,Weekend,17.82
2018-07-01,144,7,Weekend,19.76
2018-07-01,153.6,8,Weekend,23.84
2018-07-01,170.88,9,Weekend,39.94
2018-07-01,176.64,10,Weekend,42.09
2018-07-01,190.08,11,Weekend,45.77
2018-07-01,203.52,12,Weekend,35.78
2018-07-01,204.48,13,Weekend,45.41
2018-07-01,198.72,14,Weekend,48.06
2018-07-01,219.84,15,Weekend,43.56
2018-07-01,214.08,16,Weekend,53.45
2018-07-01,192.96,17,Weekend,52.1
2018-07-01,189.12,18,Weekend,49.46
2018-07-01,184.32,19,Weekend,44.55
2018-07-01,184.32,20,Weekend,36.28
2018-07-01,174.72,21,Weekend,35.53
2018-07-01,175.68,22,Weekend,28.37
2018-07-01,166.08,23,Weekend,27.72
2018-07-02,160.32,0,Weekday,28.12
2018-07-02,161.28,1,Weekday,21.92
2018-07-02,155.52,2,Weekday,21.23
2018-07-02,153.6,3,Weekday,20.49
2018-07-02,155.52,4,Weekday,20.39
2018-07-02,161.28,5,Weekday,20.96
2018-07-02,155.52,6,Weekday,23.53
2018-07-02,199.68,7,Weekday,26.07
2018-07-02,350.4,8,Weekday,34.18
2018-07-02,558.72,9,Weekday,78.11
2018-07-02,722.88,10,Weekday,41.33
2018-07-02,724.8,11,Weekday,82.04
2018-07-02,728.64,12,Weekday,83.48
2018-07-02,753.6,13,Weekday,57.58
2018-07-02,818.88,14,Weekday,50.23
2018-07-02,878.4,15,Weekday,41.85
2018-07-02,877.44,16,Weekday,44.76
2018-07-02,799.68,17,Weekday,41.69
2018-07-02,689.28,18,Weekday,78.2
2018-07-02,504.96,19,Weekday,56.38
2018-07-02,359.04,20,Weekday,41.93
2018-07-02,291.84,21,Weekday,32.07
2018-07-02,248.64,22,Weekday,30.79
2018-07-02,201.6,23,Weekday,32.51
2018-07-03,182.4,0,Weekday,29.05
2018-07-03,174.72,1,Weekday,23.39
2018-07-03,172.8,2,Weekday,19.96
2018-07-03,169.92,3,Weekday,20.02
2018-07-03,164.16,4,Weekday,19.91
2018-07-03,169.92,5,Weekday,22.09
2018-07-03,168,6,Weekday,25.15
2018-07-03,208.32,7,Weekday,28.5
2018-07-03,384,8,Weekday,30.77
2018-07-03,602.88,9,Weekday,44.15
2018-07-03,884.16,10,Weekday,53.39
2018-07-03,935.04,11,Weekday,60.24
2018-07-03,901.44,12,Weekday,102.53
2018-07-03,913.92,13,Weekday,68.63
2018-07-03,956.16,14,Weekday,63.87
2018-07-03,913.92,15,Weekday,44.28
2018-07-03,963.84,16,Weekday,50.7
2018-07-03,969.6,17,Weekday,49.15
2018-07-03,829.44,18,Weekday,37.79
2018-07-03,569.28,19,Weekday,49.5
2018-07-03,439.68,20,Weekday,31.22
2018-07-03,319.68,21,Weekday,40.39
2018-07-03,268.8,22,Weekday,27.31
2018-07-03,201.6,23,Weekday,26.45
2018-07-04,188.16,0,Weekday,26.21
2018-07-04,179.52,1,Weekday,26.31
2018-07-04,172.8,2,Weekday,23.63
2018-07-04,167.04,3,Weekday,21.52
2018-07-04,171.84,4,Weekday,21.06
2018-07-04,164.16,5,Weekday,20.82
2018-07-04,161.28,6,Weekday,20.34
2018-07-04,212.16,7,Weekday,22.23
2018-07-04,386.88,8,Weekday,31.91
2018-07-04,647.04,9,Weekday,35.59
2018-07-04,955.2,10,Weekday,58.93
2018-07-04,963.84,11,Weekday,72.28
2018-07-04,899.52,12,Weekday,66.18
2018-07-04,912.96,13,Weekday,43.44
2018-07-04,976.32,14,Weekday,38.83
2018-07-04,1012.8,15,Weekday,38.33
2018-07-04,960.96,16,Weekday,40.57
2018-07-04,941.76,17,Weekday,46.73
2018-07-04,768,18,Weekday,37.84
2018-07-04,533.76,19,Weekday,53.31
2018-07-04,387.84,20,Weekday,41.95
2018-07-04,315.84,21,Weekday,31.88
2018-07-04,265.92,22,Weekday,28.73
2018-07-04,237.12,23,Weekday,27.39
2018-07-05,200.64,0,Weekday,22.41
2018-07-05,187.2,1,Weekday,22.48
2018-07-05,176.64,2,Weekday,20.58
2018-07-05,176.64,3,Weekday,20.1
2018-07-05,174.72,4,Weekday,20.2
2018-07-05,172.8,5,Weekday,22.15
2018-07-05,176.64,6,Weekday,24.97
2018-07-05,215.04,7,Weekday,27.13
2018-07-05,351.36,8,Weekday,39.86
2018-07-05,571.2,9,Weekday,99.62
2018-07-05,787.2,10,Weekday,37.47
2018-07-05,845.76,11,Weekday,47.43
2018-07-05,893.76,12,Weekday,69.6
2018-07-05,900.48,13,Weekday,69.31
2018-07-05,957.12,14,Weekday,46.47
2018-07-05,936.96,15,Weekday,64.27
2018-07-05,882.24,16,Weekday,78.02
2018-07-05,825.6,17,Weekday,62.2
2018-07-05,664.32,18,Weekday,36.58
2018-07-05,486.72,19,Weekday,33.9
2018-07-05,349.44,20,Weekday,55.03
2018-07-05,305.28,21,Weekday,65.42
2018-07-05,257.28,22,Weekday,29.26
2018-07-05,223.68,23,Weekday,27.46
2018-07-06,182.4,0,Weekday,29.2
2018-07-06,177.6,1,Weekday,26.13
2018-07-06,172.8,2,Weekday,23.82
2018-07-06,171.84,3,Weekday,24
2018-07-06,176.64,4,Weekday,23.26
2018-07-06,172.8,5,Weekday,25.68
2018-07-06,171.84,6,Weekday,24.59
2018-07-06,229.44,7,Weekday,25.16
2018-07-06,384.96,8,Weekday,26.68
2018-07-06,546.24,9,Weekday,32.49
2018-07-06,751.68,10,Weekday,27.16
2018-07-06,774.72,11,Weekday,28.14
2018-07-06,767.04,12,Weekday,34.19
2018-07-06,775.68,13,Weekday,32.44
2018-07-06,842.88,14,Weekday,36.09
2018-07-06,784.32,15,Weekday,42.63
2018-07-06,805.44,16,Weekday,38.36
2018-07-06,738.24,17,Weekday,35.79
2018-07-06,619.2,18,Weekday,28.37
2018-07-06,453.12,19,Weekday,24.66
2018-07-06,342.72,20,Weekday,21.21
2018-07-06,275.52,21,Weekday,22.05
2018-07-06,241.92,22,Weekday,21.35
2018-07-06,197.76,23,Weekday,18.79
2018-07-07,178.56,0,Weekend,18.39
2018-07-07,176.64,1,Weekend,18.24
2018-07-07,172.8,2,Weekend,17.43
2018-07-07,166.08,3,Weekend,16.69
2018-07-07,166.08,4,Weekend,14.7
2018-07-07,166.08,5,Weekend,6.88
2018-07-07,163.2,6,Weekend,7.43
2018-07-07,171.84,7,Weekend,11.13
2018-07-07,182.4,8,Weekend,18.85
2018-07-07,205.44,9,Weekend,18.9
2018-07-07,277.44,10,Weekend,19.82
2018-07-07,306.24,11,Weekend,23.92
2018-07-07,337.92,12,Weekend,22.03
2018-07-07,345.6,13,Weekend,25.36
2018-07-07,352.32,14,Weekend,23.61
2018-07-07,353.28,15,Weekend,25.82
2018-07-07,341.76,16,Weekend,46.36
2018-07-07,288,17,Weekend,35.01
2018-07-07,245.76,18,Weekend,33.89
2018-07-07,239.04,19,Weekend,25.43
2018-07-07,222.72,20,Weekend,21.93
2018-07-07,212.16,21,Weekend,21.84
2018-07-07,196.8,22,Weekend,19.56
2018-07-07,189.12,23,Weekend,18.67
2018-07-08,181.44,0,Weekend,16.62
2018-07-08,171.84,1,Weekend,16.03
2018-07-08,172.8,2,Weekend,15.49
2018-07-08,165.12,3,Weekend,8.66
2018-07-08,162.24,4,Weekend,11
2018-07-08,163.2,5,Weekend,9.75
2018-07-08,160.32,6,Weekend,-10.99
2018-07-08,156.48,7,Weekend,14.33
2018-07-08,155.52,8,Weekend,16.35
2018-07-08,153.6,9,Weekend,18.45
2018-07-08,172.8,10,Weekend,20.2
2018-07-08,176.64,11,Weekend,21.35
2018-07-08,163.2,12,Weekend,24.63
2018-07-08,173.76,13,Weekend,27.09
2018-07-08,197.76,14,Weekend,26.47
2018-07-08,229.44,15,Weekend,32.72
2018-07-08,220.8,16,Weekend,42.02
2018-07-08,224.64,17,Weekend,56.96
2018-07-08,225.6,18,Weekend,61.93
2018-07-08,212.16,19,Weekend,49.03
2018-07-08,207.36,20,Weekend,35.5
2018-07-08,210.24,21,Weekend,27.83
2018-07-08,216,22,Weekend,24.06
2018-07-08,189.12,23,Weekend,21.4
2018-07-09,172.8,0,Weekday,18.8
2018-07-09,165.12,1,Weekday,17.96
2018-07-09,162.24,2,Weekday,17.22
2018-07-09,162.24,3,Weekday,16.03
2018-07-09,161.28,4,Weekday,16.57
2018-07-09,163.2,5,Weekday,17.52
2018-07-09,168.96,6,Weekday,17.91
2018-07-09,221.76,7,Weekday,19.05
2018-07-09,363.84,8,Weekday,21.21
2018-07-09,615.36,9,Weekday,25.24
2018-07-09,772.8,10,Weekday,47.94
2018-07-09,764.16,11,Weekday,24.35
2018-07-09,762.24,12,Weekday,29.21
2018-07-09,730.56,13,Weekday,37.11
2018-07-09,779.52,14,Weekday,45.54
2018-07-09,775.68,15,Weekday,69.17
2018-07-09,785.28,16,Weekday,75.06
2018-07-09,748.8,17,Weekday,89.49
2018-07-09,652.8,18,Weekday,62.21
2018-07-09,502.08,19,Weekday,36.59
2018-07-09,394.56,20,Weekday,28.71
2018-07-09,303.36,21,Weekday,29.38
2018-07-09,241.92,22,Weekday,24.38
2018-07-09,198.72,23,Weekday,24.86
2018-07-10,176.64,0,Weekday,19.65
2018-07-10,169.92,1,Weekday,19.11
2018-07-10,165.12,2,Weekday,18.31
2018-07-10,161.28,3,Weekday,17.15
2018-07-10,165.12,4,Weekday,17.45
2018-07-10,162.24,5,Weekday,18.7
2018-07-10,163.2,6,Weekday,19.39
2018-07-10,204.48,7,Weekday,20.97
2018-07-10,328.32,8,Weekday,28.75
2018-07-10,567.36,9,Weekday,34.74
2018-07-10,781.44,10,Weekday,52.25
2018-07-10,816,11,Weekday,34.13
2018-07-10,797.76,12,Weekday,38.11
2018-07-10,839.04,13,Weekday,40.78
2018-07-10,870.72,14,Weekday,52.84
2018-07-10,841.92,15,Weekday,110.44
2018-07-10,840.96,16,Weekday,44.7
